2017 02 09,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",200,"184,20 €","0,00 €","188,71 €"
2017 02 09,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",444,"408,92 €","0,76 €","417,11 €"
2017 02 20,JSC Olainfarm (ISIN LV0000100501),49,"444,92 €","0,25 €","428,48 €"
2017 02 20,JSC Olainfarm (ISIN LV0000100501),1,"9,08 €","0,00 €","8,79 €"
2017 02 20,JSC Olainfarm (ISIN LV0000100501),49,"444,92 €","2,00 €","428,08 €"
2017 02 21,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",1807,"1.660,63 €","4,15 €","1.682,51 €"
2017 02 23,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",39,"36,43 €","0,00 €","36,13 €"
2017 02 24,JSC Grindeks (ISIN LV0000100659),450,"2.097,00 €","5,24 €","2.008,72 €"
2017 02 24,JSC Grindeks (ISIN LV0000100659),50,"233,00 €","0,59 €","221,55 €"
2017 02 24,JSC Grindeks (ISIN LV0000100659),669,"3.137,61 €","7,84 €","2.958,47 €"
2017 02 24,JSC Grindeks (ISIN LV0000100659),150,"703,50 €","1,76 €","661,65 €"
2017 02 24,JSC Grindeks (ISIN LV0000100659),150,"703,50 €","1,76 €","661,65 €"
2017 02 24,JSC Grindeks (ISIN LV0000100659),20,"93,80 €","0,24 €","88,22 €"
2017 02 28,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",106,"99,00 €","0,00 €","98,18 €"
2017 03 01,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",150,"140,10 €","0,00 €","137,97 €"
2017 03 01,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",150,"140,10 €","0,00 €","136,99 €"
2017 03 01,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",585,"546,39 €","0,45 €","534,26 €"
2017 03 07,"AB ,,Linas Agro Group"" PVA (ISIN LT0000128092)",2373,"1.535,33 €","3,84 €","1.580,74 €"
2017 03 08,JSC Olainfarm (ISIN LV0000100501),95,"863,55 €","2,16 €","856,67 €"
2017 03 08,"AB ,,Linas Agro Group"" PVA (ISIN LT0000128092)",1400,"905,80 €","2,26 €","929,51 €"
2017 03 08,JSC Olainfarm (ISIN LV0000100501),305,"2.772,45 €","6,93 €","2.693,27 €"
2017 03 08,JSC Valmieras stikla skiedra (ISIN LV0000100485),95,"296,40 €","0,00 €","285,71 €"
2017 03 08,JSC Valmieras stikla skiedra (ISIN LV0000100485),100,"312,00 €","2,00 €","301,00 €"
2017 03 10,JSC Olainfarm (ISIN LV0000100501),165,"1.508,10 €","3,77 €","1.485,86 €"
2017 03 10,"AB ,,Linas Agro Group"" PVA (ISIN LT0000128092)",1000,"648,00 €","1,62 €","661,03 €"
2017 03 10,JSC Olainfarm (ISIN LV0000100501),95,"868,30 €","2,17 €","852,38 €"
2017 03 10,"AB ,,Linas Agro Group"" PVA (ISIN LT0000128092)",2000,"1.296,00 €","2,86 €","1.328,01 €"
2017 03 10,JSC Valmieras stikla skiedra (ISIN LV0000100485),100,"312,00 €","0,30 €","300,75 €"
2017 03 10,JSC Olainfarm (ISIN LV0000100501),95,"868,30 €","2,17 €","848,68 €"
2017 03 10,JSC Olainfarm (ISIN LV0000100501),25,"228,50 €","0,57 €","223,31 €"
2017 03 10,"AB ,,Linas Agro Group"" PVA (ISIN LT0000128092)",1000,"648,00 €","2,00 €","663,65 €"
2017 03 13,JSC Valmieras stikla skiedra (ISIN LV0000100485),95,"297,35 €","2,00 €","285,71 €"
2017 03 13,JSC Valmieras stikla skiedra (ISIN LV0000100485),95,"297,35 €","0,00 €","285,71 €"
2017 03 13,JSC Valmieras stikla skiedra (ISIN LV0000100485),10,"31,30 €","0,00 €","30,08 €"
2017 03 14,JSC Valmieras stikla skiedra (ISIN LV0000100485),95,"297,35 €","0,31 €","285,71 €"
2017 03 14,JSC Valmieras stikla skiedra (ISIN LV0000100485),5,"15,65 €","0,04 €","15,04 €"
2017 03 17,JSC Olainfarm (ISIN LV0000100501),38,"350,74 €","2,00 €","339,43 €"
2017 03 17,JSC Olainfarm (ISIN LV0000100501),85,"784,55 €","2,00 €","762,15 €"
2017 03 17,JSC Olainfarm (ISIN LV0000100501),112,"1.033,76 €","1,46 €","1.000,41 €"
2017 03 20,JSC Olainfarm (ISIN LV0000100501),10,"92,30 €","0,19 €","89,60 €"
2017 03 20,JSC Olainfarm (ISIN LV0000100501),54,"498,42 €","1,25 €","482,45 €"
2017 03 21,JSC Olainfarm (ISIN LV0000100501),35,"323,05 €","0,81 €","312,28 €"
2017 03 22,JSC Valmieras stikla skiedra (ISIN LV0000100485),95,"299,25 €","0,74 €","290,83 €"
