2018-01-11,JSC Latvijas Gaze (ISIN LV0000100899),48,"494,40 €","2,00 €","499,24 €"
2018-01-11,JSC Latvijas Gaze (ISIN LV0000100899),42,"432,60 €","0,32 €","433,68 €"
2018-01-11,JSC Latvijas Gaze (ISIN LV0000100899),5,"51,50 €","0,13 €","51,63 €"
2018-01-11,JSC Latvijas Gaze (ISIN LV0000100899),3,"30,90 €","0,07 €","30,98 €"
2018-01-11,JSC Latvijas Gaze (ISIN LV0000100899),22,"226,60 €","0,57 €","227,17 €"
2018-01-11,JSC Latvijas Gaze (ISIN LV0000100899),55,"566,50 €","0,45 €","589,97 €"
2018-01-12,Harju Elekter (ISIN EE3100004250),180,"982,80 €","2,46 €","963,60 €"
2018-01-12,JSC Latvijas Gaze (ISIN LV0000100899),72,"748,80 €","0,59 €","725,55 €"
2018-01-12,Harju Elekter (ISIN EE3100004250),180,"979,20 €","2,45 €","975,63 €"
2018-01-15,"AB ,,LITGRID"" PVA (ISIN LT0000128415)",974,"686,67 €","0,00 €","674,98 €"
2018-01-18,JSC Valmieras stikla skiedra (ISIN LV0000100485),60,"226,80 €","2,00 €","227,97 €"
2018-01-18,"AB ,,AUGA group"" PVA (ISIN LT0000127466)",40,"24,80 €","2,00 €","25,26 €"
2018-01-18,"AB ,,INVALDA INVL"" PVA (ISIN LT0000102279)",100,"530,00 €","1,33 €","531,33 €"
2018-01-18,"AB ,,INVALDA INVL"" PVA (ISIN LT0000102279)",200,"1.060,00 €","2,65 €","1.064,16 €"
2018-01-19,JSC Rigas kugu buvetava (ISIN LV0000100378),1800,"500,40 €","0,00 €","549,35 €"
2018-01-19,JSC Olainfarm (ISIN LV0000100501),819,"6.797,70 €","16,99 €","6.599,48 €"
2018-01-19,Olympic Entertainment Group (ISIN EE3100084021),518,"950,53 €","2,38 €","955,50 €"
2018-01-22,Olympic Entertainment Group (ISIN EE3100084021),1482,"2.719,47 €","6,80 €","2.733,70 €"
2018-01-22,JSC Olainfarm (ISIN LV0000100501),104,"884,00 €","2,21 €","860,54 €"
